TOP_LEVEL_PARENT_ROLE,DATABASE_NAME,SCHEMA_NAME,PRIVILEGE_CATEGORY
ACCOUNTADMIN,DCDW_WORKDAY_DB,SCH_RAW,RW
ACCOUNTADMIN,PCDW_DB,CDW_DM_TB,RW
ACCOUNTADMIN,PCDW_DB,CDW_FADEL_TB,RW
ACCOUNTADMIN,DCDW_DST,SCH_SEM,RW
ACCOUNTADMIN,PCDW_DST,SCH_REF,RW
ACCOUNTADMIN,PCDW_DB,CDW_USER_TB,RW
ACCOUNTADMIN,DCDW_DB,CDW_INTGEXT_TB,RW
ACCOUNTADMIN,DCDW_DB,CDW_DM_TB,RW
ACCOUNTADMIN,DCDW_DB,CDW_LANDING_TB,RW
ACCOUNTADMIN,DCDW_DB,CDW_USER_TB,RW
ACCOUNTADMIN,PCDW_DB,CDW_INTGEXT_TB,RW
ACCOUNTADMIN,DCDW_DST,FPA_BITEAM,RW
ACCOUNTADMIN,CLEAN_ROOM_DB,OWNER_EXPLORE,RW
ACCOUNTADMIN,CLEAN_ROOM_DB,SCH_ROLE_VIEW,RW
ACCOUNTADMIN,CLEAN_ROOM_DB,RBAC_TEST_FRAMEWORK,RW
ACCOUNTADMIN,DCDW_DB,CDW_FADEL_TB,RW
ACCOUNTADMIN,DCDW_DST,PRODDTA,RW
ACCOUNTADMIN,DCDW_DST,SCH_REF,RW
ACCOUNTADMIN,DCDW_DST,SEC_AUDIT,RW
ACCOUNTADMIN,PCDW_DB,CDW_LANDING_TB,RW
ACCOUNTADMIN,PCDW_DB,LOOKER_SCRATCH,RW
ACCOUNTADMIN,PCDW_DB,CDW_INTGEXT_STG_TB,RW
ACCOUNTADMIN,DCDW_DST,ENTERPRISE_SANDBOX,RW
ACCOUNTADMIN,PCDW_DST,SCH_RAW,RW
ACCOUNTADMIN,PCDW_DST,SCH_SEM,RW
ACCOUNTADMIN,DCDW_DST,PUBLIC,RW
ACCOUNTADMIN,DCDW_DST,SCH_RAW,RW
ACCOUNTADMIN,DCDW_DB,CDW_INTGEXT_STG_TB,RW
ACCOUNTADMIN,DCDW_DB,CDW_FADEL_STG_TB,RW
ACCOUNTADMIN,PCDW_WORKDAY_DB,SCH_RAW,RW
ACCOUNTADMIN,PCDW_DST,PUBLIC,RW
ACCOUNTADMIN,PCDW_DB,CDW_FADEL_STG_TB,RW
DATA_ENGINEER,DCDW_DB,CDW_INTGEXT_STG_TB,RW
DATA_ENGINEER,DCDW_DB,CDW_USER_TB,RW
DATA_ENGINEER,DCDW_DB,CDW_FADEL_STG_TB,RW
DATA_ENGINEER,DCDW_DB,CDW_FADEL_TB,RW
DATA_ENGINEER,DCDW_DB,CDW_INTGEXT_TB,RW
DATA_ENGINEER,DCDW_DB,CDW_LANDING_TB,RW
DATA_ENGINEER,DCDW_WORKDAY_DB,SCH_RAW,RW
DATA_ENGINEER,PCDW_DB,CDW_FADEL_STG_TB,RW
DATA_ENGINEER,PCDW_DB,CDW_USER_TB,RW
DATA_ENGINEER,PCDW_DB,CDW_DM_TB,RW
DATA_ENGINEER,PCDW_DB,CDW_LANDING_TB,RW
DATA_ENGINEER,PCDW_DB,CDW_FADEL_TB,RW
DATA_ENGINEER,PCDW_DB,CDW_INTGEXT_STG_TB,RW
DATA_ENGINEER,PCDW_DB,CDW_INTGEXT_TB,RW
DATA_ENGINEER,PCDW_DB,LOOKER_SCRATCH,RW
DATA_ENGINEER,PCDW_DST,SCH_SEM,RW
DATA_ENGINEER,PCDW_DST,SCH_REF,RW
DATA_ENGINEER,PCDW_DST,PUBLIC,RW
DATA_ENGINEER,PCDW_WORKDAY_DB,SCH_RAW,RW
DATA_ENGINEER,DCDW_DST,SCH_REF,RO
DATA_ENGINEER,DCDW_DST,SCH_SEM,RW
DATA_ENGINEER,PCDW_DST,SCH_RAW,RW
DATA_ENGINEER,DCDW_DB,CDW_DM_TB,RW
DATA_ENGINEER,DCDW_DST,SCH_RAW,RW
DATA_OWNER_ROLE,CLEAN_ROOM_DB,OWNER_EXPLORE,RW
DB_CLEAN_ROOM_DB_FA,CLEAN_ROOM_DB,OWNER_EXPLORE,RW
DB_CLEAN_ROOM_DB_FA,CLEAN_ROOM_DB,RBAC_TEST_FRAMEWORK,RW
DB_CLEAN_ROOM_DB_FA,CLEAN_ROOM_DB,SCH_ROLE_VIEW,RW
DB_CLEAN_ROOM_DB_RW,CLEAN_ROOM_DB,OWNER_EXPLORE,RO
DB_CLEAN_ROOM_DB_RW,CLEAN_ROOM_DB,RBAC_TEST_FRAMEWORK,RO
DB_CLEAN_ROOM_DB_RW,CLEAN_ROOM_DB,SCH_ROLE_VIEW,RO
DB_DCDW_DB_FA,DCDW_DB,CDW_DM_TB,RW
DB_DCDW_DB_FA,DCDW_DB,CDW_FADEL_STG_TB,RW
DB_DCDW_DB_FA,DCDW_DB,CDW_FADEL_TB,RW
DB_DCDW_DB_FA,DCDW_DB,CDW_INTGEXT_STG_TB,RW
DB_DCDW_DB_FA,DCDW_DB,CDW_USER_TB,RW
DB_DCDW_DB_FA,DCDW_DB,CDW_INTGEXT_TB,RW
DB_DCDW_DB_FA,DCDW_DB,CDW_LANDING_TB,RW
DB_DCDW_DB_RW,DCDW_DB,CDW_DM_TB,RO
DB_DCDW_DB_RW,DCDW_DB,CDW_FADEL_STG_TB,RO
DB_DCDW_DB_RW,DCDW_DB,CDW_FADEL_TB,RO
DB_DCDW_DB_RW,DCDW_DB,CDW_INTGEXT_STG_TB,RO
DB_DCDW_DB_RW,DCDW_DB,CDW_INTGEXT_TB,RO
DB_DCDW_DB_RW,DCDW_DB,CDW_LANDING_TB,RO
DB_DCDW_DB_RW,DCDW_DB,CDW_USER_TB,RO
DB_DCDW_DST_FA,DCDW_DST,PRODDTA,RW
DB_DCDW_DST_FA,DCDW_DST,PUBLIC,RW
DB_DCDW_DST_FA,DCDW_DST,SCH_RAW,RW
DB_DCDW_DST_FA,DCDW_DST,SCH_SEM,RW
DB_DCDW_DST_FA,DCDW_DST,SEC_AUDIT,RW
DB_DCDW_DST_FA,DCDW_DST,ENTERPRISE_SANDBOX,RW
DB_DCDW_DST_FA,DCDW_DST,FPA_BITEAM,RW
DB_DCDW_DST_FA,DCDW_DST,SCH_REF,RW
DB_DCDW_DST_FA,PCDW_DST,SCH_RAW,RW
DB_DCDW_DST_RW,DCDW_DST,ENTERPRISE_SANDBOX,RO
DB_DCDW_DST_RW,DCDW_DST,FPA_BITEAM,RO
DB_DCDW_DST_RW,DCDW_DST,PRODDTA,RO
DB_DCDW_DST_RW,DCDW_DST,PUBLIC,RO
DB_DCDW_DST_RW,DCDW_DST,SCH_RAW,RO
DB_DCDW_DST_RW,DCDW_DST,SCH_REF,RO
DB_DCDW_DST_RW,DCDW_DST,SCH_SEM,RO
DB_DCDW_DST_RW,DCDW_DST,SEC_AUDIT,RO
DB_DCDW_WORKDAY_DB_FA,DCDW_WORKDAY_DB,SCH_RAW,RW
DB_DCDW_WORKDAY_DB_RW,DCDW_WORKDAY_DB,SCH_RAW,RO
DB_PCDW_DB_FA,PCDW_DB,CDW_USER_TB,RW
DB_PCDW_DB_FA,PCDW_DB,LOOKER_SCRATCH,RW
DB_PCDW_DB_FA,PCDW_DB,CDW_DM_TB,RW
DB_PCDW_DB_FA,PCDW_DB,CDW_FADEL_STG_TB,RW
DB_PCDW_DB_FA,PCDW_DB,CDW_FADEL_TB,RW
DB_PCDW_DB_FA,PCDW_DB,CDW_INTGEXT_STG_TB,RW
DB_PCDW_DB_FA,PCDW_DB,CDW_INTGEXT_TB,RW
DB_PCDW_DB_FA,PCDW_DB,CDW_LANDING_TB,RW
DB_PCDW_DB_RW,PCDW_DB,CDW_DM_TB,RO
DB_PCDW_DB_RW,PCDW_DB,CDW_FADEL_STG_TB,RO
DB_PCDW_DB_RW,PCDW_DB,CDW_FADEL_TB,RO
DB_PCDW_DB_RW,PCDW_DB,CDW_INTGEXT_STG_TB,RO
DB_PCDW_DB_RW,PCDW_DB,CDW_INTGEXT_TB,RO
DB_PCDW_DB_RW,PCDW_DB,CDW_LANDING_TB,RO
DB_PCDW_DB_RW,PCDW_DB,CDW_USER_TB,RO
DB_PCDW_DB_RW,PCDW_DB,LOOKER_SCRATCH,RO
DB_PCDW_DST_FA,PCDW_DST,PUBLIC,RW
DB_PCDW_DST_FA,PCDW_DST,SCH_RAW,RW
DB_PCDW_DST_FA,PCDW_DST,SCH_REF,RW
DB_PCDW_DST_FA,PCDW_DST,SCH_SEM,RW
DB_PCDW_DST_RW,PCDW_DST,PUBLIC,RO
DB_PCDW_DST_RW,PCDW_DST,SCH_RAW,RO
DB_PCDW_DST_RW,PCDW_DST,SCH_REF,RO
DB_PCDW_DST_RW,PCDW_DST,SCH_SEM,RO
DB_PCDW_WORKDAY_DB_FA,PCDW_WORKDAY_DB,SCH_RAW,RW
DB_PCDW_WORKDAY_DB_RW,PCDW_WORKDAY_DB,SCH_RAW,RO
DST_ETL_DEVELOPER,DCDW_DB,CDW_FADEL_TB,RW
DST_ETL_DEVELOPER,DCDW_DB,CDW_INTGEXT_TB,RW
DST_ETL_DEVELOPER,DCDW_DB,CDW_DM_TB,RW
DST_ETL_DEVELOPER,DCDW_DB,CDW_INTGEXT_STG_TB,RW
DST_ETL_DEVELOPER,DCDW_DB,CDW_USER_TB,RW
DST_ETL_DEVELOPER,DCDW_DB,CDW_FADEL_STG_TB,RW
DST_ETL_DEVELOPER,DCDW_DB,CDW_LANDING_TB,RW
DST_ETL_DEVELOPER,DCDW_WORKDAY_DB,SCH_RAW,RW
DST_ETL_DEVELOPER,PCDW_DB,CDW_INTGEXT_TB,RW
DST_ETL_DEVELOPER,PCDW_DB,CDW_USER_TB,RW
DST_ETL_DEVELOPER,PCDW_DB,CDW_DM_TB,RW
DST_ETL_DEVELOPER,PCDW_DB,CDW_FADEL_STG_TB,RW
DST_ETL_DEVELOPER,PCDW_DB,CDW_INTGEXT_STG_TB,RW
DST_ETL_DEVELOPER,PCDW_DB,LOOKER_SCRATCH,RW
DST_ETL_DEVELOPER,PCDW_DB,CDW_FADEL_TB,RW
DST_ETL_DEVELOPER,PCDW_DB,CDW_LANDING_TB,RW
DST_ETL_DEVELOPER,PCDW_DST,PUBLIC,RW
DST_ETL_DEVELOPER,PCDW_DST,SCH_RAW,RW
DST_ETL_DEVELOPER,PCDW_DST,SCH_REF,RW
DST_ETL_DEVELOPER,PCDW_DST,SCH_SEM,RW
DST_ETL_DEVELOPER,PCDW_WORKDAY_DB,SCH_RAW,RW
EA_ANALYST_RO_ALL_RW_SANDBOX,DCDW_DB,CDW_DM_TB,RO
EA_ANALYST_RO_ALL_RW_SANDBOX,DCDW_DB,CDW_FADEL_STG_TB,RO
EA_ANALYST_RO_ALL_RW_SANDBOX,DCDW_DB,CDW_FADEL_TB,RO
EA_ANALYST_RO_ALL_RW_SANDBOX,DCDW_DB,CDW_INTGEXT_STG_TB,RO
EA_ANALYST_RO_ALL_RW_SANDBOX,DCDW_DB,CDW_INTGEXT_TB,RO
EA_ANALYST_RO_ALL_RW_SANDBOX,DCDW_DB,CDW_LANDING_TB,RO
EA_ANALYST_RO_ALL_RW_SANDBOX,DCDW_DB,CDW_USER_TB,RO
EA_ANALYST_RO_ALL_RW_SANDBOX,DCDW_DST,PRODDTA,RO
EA_ANALYST_RO_ALL_RW_SANDBOX,DCDW_DST,PUBLIC,RO
