USER_NAME,WAREHOUSE_NAME,TOTAL_CREDITS_ATTRIBUTED,TOTAL_QUERIES
STRATEGY_ACCT_BI_POWERUSER,WH_PROD_DM_BI,2.62035594,1428
KOWEN,EDO_SANDBOX_WH,0.8942238275,84
DDELLIMPERIO,DWBI_WH,0.2869856147,71
OPENGLASE,DWBI_WH,5.682643665,68
KKAUR45098,WH_DEV_DM_ETL,0.3128577937,824
DZHU,WH_PROD_DM_BI,0.3325897486,15
KRANA43419,EDO_SANDBOX_WH,0.2023768142,11
MHUGHES,WH_PROD_DM_POWER_BI,0.01900333333,1
KOWEN,WH_PROD_DST_ETL,0.004606666667,1
VSRIVASTAVA44933,WH_DEV_DM_ETL,0.3632652171,94
TFISHMANSTRAIT47318,WH_PROD_DM_POWER_BI,0.6718369943,17
ARUN_TEMP,WH_PROD_FADEL_ETL,0.5896190725,303
VKUMAR44635,EDO_SANDBOX_WH,6.348441571,375
DDELLIMPERIO,WH_PROD_DM_POWER_BI,0.00398,1
MPETROVICH46796,DWBI_WH,1.049762778,1
PTHIRUNAVUKKAR42586,DWBI_WH,1.297550828,237
D_DM_ETL_USER,WH_DEV_DST_ETL,0.2377547223,37
HANWAR,DWBI_WH,6.022387697,118
MHUGHES,WH_PROD_DM_BI,0.03076518519,8
NOCHIAI,WH_PROD_DM_POWER_BI,0.06125018025,14
P_DST_ETL_USER,WH_PROD_DST_ETL,849.132758494,336557
P_FADEL_ETL_USER,WH_PROD_FADEL_BI,106.587154011,624
P_DST_ETL_USER,WH_PROD_MKT_INFOSEC,0.6692910485,962
PRAVURI71247,DWBI_WH,0.5820852819,76
TEST_EA_ANALYST_RO_ALL_RW_SANDBOX,WH_PROD_FADEL_BI,0.0002711111111,1
PRAVURI71247,WH_PROD_DM_POWER_BI,0.2093061259,13
TEST_USER_PROD_ANALYST,DWBI_WH,0.1223943784,9
PTHIRUNAVUKKAR_TEST,EDO_SANDBOX_WH,0.003671111111,1
SUPPLY_ACCT_BI_POWERUSER,WH_PROD_DST_BI,0.9024725572,147
BWAINWRIGHT,WH_PROD_DST_BI,0.9131822839,186
RVICKERS,DWBI_WH,0.03067988285,10
TEST_USER_PROD_ANALYST,WH_QA_DST_ETL,0.009946407407,8
ESCHULZ,WH_PROD_DM_BI,0.02412022613,5
USHED_ACCT_BI_POWERUSER,WH_PROD_DM_POWER_BI,255.20569353,9504
CA_BI_POWERUSER,WH_PROD_DM_POWER_BI,151.693789046,6484
ABUI39971,WH_PROD_DM_BI,0.08211210438,30
KOWEN,WH_PROD_DM_POWER_BI,0.06544936368,13
P_DST_ETL_USER,WH_DEV_DM_ETL,0.1797563333,2
P_DST_BI_USER,WH_PROD_DM_POWER_BI,39.092691802,4188
CAFIN_ACCT_BI_POWERUSER,WH_PROD_DM_POWER_BI,49.553709533,1269
TEST_EA_FPA_RO_RW_SANDBOX,EDO_SANDBOX_WH,0.006426666667,2
P_DST_ETL_USER,WH_DEV_DST_ETL,58.06603174,210368
STRATEGY_ACCT_BI_POWERUSER,WH_PROD_DM_POWER_BI,20.228301614,4804
P_DST_ETL_USER,WH_PROD_DST_BI,0.2310227732,79
SYSTEM,WH_DEV_DST_ETL,0.1060782732,62
ELIM44340,WH_PROD_DM_POWER_BI,0.7125046094,7
CA_BI_POWERUSER,WH_DEV_DST_ETL,0.07698097998,42
SYSTEM,SYSTEM$STREAMLIT_NOTEBOOK_WH,27.758360581,805
KCONNER,WH_PROD_DM_POWER_BI,22.291836992,182
ABUI39971,WH_PROD_DST_ETL,0.5628575945,102
SDINESH39986,WH_PROD_DST_ETL,0.004491111111,14
HANWAR,EDO_SANDBOX_WH,37.651182853,316
ARUN_TEMP,DWBI_WH,0.5045189171,47
MMAVULURU,WH_DEV_DM_ETL,9.884722222e-05,1
ACCT_BI_INFOSEC,DWBI_WH,0.8950633304,715
WPHENICIE,EDO_SANDBOX_WH,0.236830929,19
BHEUSER,WH_PROD_DM_BI,0.4167842007,39
ARUN_TEMP,SYSTEM$STREAMLIT_NOTEBOOK_WH,0.7012210072,1
SUPPLY_ACCT_BI_POWERUSER,WH_PROD_DM_POWER_BI,207.012488512,7359
