USER_NAME,ROLE_NAME
AAGRAWAL,PROD_ANALYST
AARIVAZHAGAN,DST_ETL_DEVELOPER
AARIVAZHAGAN,SECURITYADMIN
AARIVAZHAGAN,DATA_ENGINEER
AARIVAZHAGAN,EA_BUSINESSANALYST_RO_PRODSEM
AARIVAZHAGAN,EDO_ADMIN_FA_ALL
AARIVAZHAGAN,EDO_PLATFORMLEAD_MIGRATE_PROD
AARIVAZHAGAN,PROD_ANALYST
ABAILEY,PROD_ANALYST
ABHALLA,DST_ETL_DEVELOPER
ABOHLANDER39524,EA_ANALYST_RO_ALL_RW_SANDBOX
ABOUCHIE,PROD_ANALYST
ABOUCHIE,EA_ANALYST_RO_ALL_RW_SANDBOX
ABUI39971,EA_SBO_RO_ALL_RW_SANDBOX
ABUI39971,PROD_ANALYST
ACATLETT43874,DST_ETL_DEVELOPER
ACCT_BI_COMM_CS_ODBC,PROD_ANALYST
ACCT_BI_ED2GO,DST_ETL_DEVELOPER
ACCT_BI_EMEA_SLS_MKT,PROD_ANALYST
ACCT_BI_FIN_RAR,PROD_ANALYST
ACCT_BI_FPA_ALTYREX,DST_ETL_DEVELOPER
ACCT_BI_FPA_ALTYREX,PROD_ANALYST
ACCT_BI_GOV_COLLIBRA,PROD_ANALYST
ACCT_BI_INFOSEC,DST_ETL_DEVELOPER
ACCT_CP_ALTYREX,PROD_ANALYST
ACHRISTOPHER47947,DATA_ENGINEER
ADAILEY,EA_BUSINESSANALYST_RO_PRODSEM
ADAVIS46768,PROD_ANALYST
ADAVIS46768,QST_ETL_DEVELOPER
ADUTT46706,QST_ETL_DEVELOPER
ADUTT46706,PROD_ANALYST
AGOLCHHA46996,DST_ETL_DEVELOPER
AGOLCHHA46996,PROD_ANALYST
AGOLCHHA46996,QST_ETL_DEVELOPER
AGRIGSBY39435,PROD_ANALYST
AHARTMAN,PROD_ANALYST
AKAKUMANI45160,PROD_ANALYST
AKRISHNARAJ,PROD_ANALYST
AKULKARNI46884,PROD_ANALYST
AKUMARI,QST_ETL_DEVELOPER
AKUMARI,PROD_ANALYST
ALIANG42522,PROD_ANALYST
ALUCIANO,PROD_ANALYST
AMARTENCO,PROD_ANALYST
AMARTENCO,EA_ANALYST_RO_ALL_RW_SANDBOX
AMONDAL47282,PROD_ANALYST
AMORAN,PROD_ANALYST
ARAO45785,PROD_ANALYST
ARUN_TEMP,ACCOUNTADMIN
ARUN_TEMP,DATA_ENGINEER
ARUN_TEMP,DST_ETL_DEVELOPER
ARUN_TEMP,SECURITYADMIN
ARUN_TEST,EA_BUSINESSANALYST_RO_PRODSEM
ARUN_TEST2,EA_BUSINESSANALYST_RO_PRODSEM
ARUN_TEST3,EA_BUSINESSANALYST_RO_PRODSEM
ARUN_TEST3,PROD_ANALYST
ARUN_TEST4,PROD_ANALYST
ASALAZAR42536,PROD_ANALYST
ASANCHEZ43699,PROD_ANALYST
ASANTOS,PROD_ANALYST
ATHOTA44913,DST_ETL_DEVELOPER
ATHOTA44913,QST_ETL_DEVELOPER
AUCUMMINGS,PROD_ANALYST
AUCUMMINGS,EA_FPABI_RO_RW_SANDBOX
AVALLY44040,DST_ETL_DEVELOPER
AVENKATESHWARA44038,DST_ETL_DEVELOPER
AYIN41726,PROD_ANALYST
BANDREWS39878,PROD_ANALYST
BEUGENE30113,DATA_ENGINEER
BHEUSER,PROD_ANALYST
BHEUSER,EA_ANALYST_RO_ALL_RW_SANDBOX
BHOLTZMAN44060,PROD_ANALYST
BHUANG46931,PROD_ANALYST
BWAINWRIGHT,PROD_ANALYST
CAFIN_ACCT_BI_POWERUSER,PROD_ANALYST
CAMILFIN_ACCT_BI_POWERUSER,PROD_ANALYST
CASEC_ACCT_BI_POWERUSER,PROD_ANALYST
CA_BI_POWERUSER,PROD_ANALYST
CA_BI_POWER_USER,PROD_ANALYST
CBIAGETTI,PROD_ANALYST
CCORTESE,PROD_ANALYST
CDIEWALD_SFC,SYSADMIN
CDIEWALD_SFC,SECURITYADMIN
CGILLER,PROD_ANALYST
CGRIFFIN,PROD_ANALYST
CGRIFFIN,EA_ANALYST_RO_ALL_RW_SANDBOX
CQIAN,PROD_ANALYST
CXU45636,PROD_ANALYST
DATA_ENGINEER_TEST,DATA_ENGINEER
DDELLIMPERIO,PROD_ANALYST
DDIANGE42162,EA_BUSINESSANALYST_RO_PRODSEM
DEPLOY_ROLES_TEMP_USER,SYSADMIN
DEPLOY_ROLES_TEMP_USER,SECURITYADMIN
DEPLOY_ROLES_TEMP_USER,ACCOUNTADMIN
DGEISLER,DST_ETL_DEVELOPER
DGUPTA46767,QST_ETL_DEVELOPER
DGUPTA46767,PROD_ANALYST
DHOFFINE,PROD_ANALYST
DOCONNOR,PROD_ANALYST
DPALANIVELU46690,QST_ETL_DEVELOPER
DPALANIVELU46690,PROD_ANALYST
DPEJMAN44669,PROD_ANALYST
DSCHAFER,PROD_ANALYST
DSELVAM,DATA_ENGINEER
DTRAMBOULAKIS,PROD_ANALYST
DWBI_ANALYST,ANALYST
DWBI_ANALYST,LANDING_ACCESS
DWILLIAMS42836,EA_ANALYST_RO_ALL_RW_SANDBOX
